"","Subject","Pre","Post","LeaYrs","DUH","AECI","List","Trial","Time","Type"
"195","9fbdae41",8.89,10,3,0,5,"0","2",1441,"MATCH"
"196","14028ce4",5,10,3,1.5,4.3333333333,"0","2",543,"MATCH"
"197","3fd4437d",7.22,10,3,0,3.3333333333,"1","2",NA,"MATCH"
"198","5916d1b4",6.11,7.78,2,0,4.3333333333,"1","2",899,"MATCH"
"199","e66fdba0",4.44,10,2,2,4.6666666667,"1","2",950,"MATCH"
"200","15bfb74c",4.44,10,1,1,4,"1","2",487,"MATCH"
"201","263c755d",5.55,4.44,3,0.25,3.3333333333,"1","2",NA,"MATCH"
"202","0ab3083c",6.11,7.22,3,0,2.6666666667,"1","2",1881,"MATCH"
"203","6c2aef23",6.11,10,5,0,4.6666666667,"1","2",1091,"MATCH"
"204","818371e0",2.77,6.11,1,0,2,"1","2",460,"MATCH"
"205","188c72a7",5,10,1,2.5,3.6666666667,"1","2",1002,"MATCH"
"206","b71768d8",6.67,10,3,1,3.6666666667,"1","2",438,"MATCH"
"207","25dedb2d",7.78,10,3,0,3,"1","2",703,"MATCH"
"208","517825bd",5,7.22,3,4,3.6666666667,"1","2",819,"MATCH"
"209","f186a0a4",7.22,10,2,1.5,NA,"1","2",350,"MATCH"
"210","6503fd75",1.66,2.22,1,1,3.6666666667,"1","2",1160,"MATCH"
"211","c91a4e32",6.67,10,4,0,3.6666666667,"1","2",1684,"MATCH"
"212","98338b55",5.55,8.33,2,0,NA,"1","2",589,"MATCH"
"213","53cc0706",4.44,7.78,3,2,4.3333333333,"1","2",903,"MATCH"
"214","df1786e6",2.77,10,3,1,3.6666666667,"1","2",NA,"MATCH"
"215","a3d39b25",6.67,8.89,1,1,3.6666666667,"1","2",589,"MATCH"
"216","41260fef",3.89,9.44,3,1,5,"1","2",899,"MATCH"
"217","15875402",5,10,3,0,3,"1","2",1539,"MATCH"
"218","9f51aeec",9.44,10,2,0.25,2.3333333333,"1","2",1346,"MATCH"
"219","03a054f0",10,10,3,0,3,"1","2",366,"MATCH"
"220","93338205",3.33,7.78,3,0.5,2.6666666667,"1","2",422,"MATCH"
"221","6a5e2cdb",6.667,10,2,1,3.6666666667,"1","2",1309,"MATCH"
"222","0549b570",4.44,9.44,3,0,3,"1","2",782,"MATCH"
"223","de863440",4.44,6.11,4.5,0,4.3333333333,"1","2",578,"MATCH"
"224","59376c09",3.88,8.89,3,0,4,"1","2",NA,"MATCH"
"225","96529217",8.89,10,3,5,4.3333333333,"1","2",986,"MATCH"
"226","866b57a7",6.67,10,1,1,4,"1","2",535,"MATCH"
"227","609d0d9b",6.67,10,3,3,4,"1","2",753,"MATCH"
"228","251792e8",5,10,3,0,4,"1","2",976,"MATCH"
"229","fcb993e5",7.78,9.44,3.5,6.5,4,"1","2",2391,"MATCH"
"230","12f84eb0",10,10,3,6.5,4,"1","2",537,"MATCH"
"231","486191a4",10,10,3,3,4.3333333333,"1","2",841,"MATCH"
"232","721bc72a",6.67,10,2,1,4,"1","2",1859,"MATCH"
"233","56fd3e1e",6.11,9.44,1,0.5,4,"1","2",824,"MATCH"
"234","5cdd0d19",8.33,10,1.5,1.5,4.6666666667,"1","2",911,"MATCH"
"235","5303608d",5.56,9.44,11,5,4.6666666667,"1","2",1349,"MATCH"
"236","c3997ed6",9.44,10,3,2.5,5,"1","2",1149,"MATCH"
"237","dde898eb",7.78,10,4,0,3.3333333333,"1","2",1244,"MATCH"
"238","baa9db48",3.33,7.22,4,3,4.3333333333,"1","2",722,"MATCH"
"239","c3e79533",3.89,6.67,3,2,4,"1","2",459,"MATCH"
"240","eb8fbb46",6.11,9.44,5,6,5,"1","2",NA,"MATCH"
"241","340b60e7",6.66,10,9,0.11,3.6666666667,"1","2",410,"MATCH"
"242","d15eaf16",7.22,10,3.25,0,4,"1","2",NA,"MATCH"
"243","e8b8fdec",6.67,9.44,1,1,3.3333333333,"1","2",861,"MATCH"
"244","67c0460b",8.89,10,8,11,5,"1","2",939,"MATCH"
"245","3e545d0a",6.11,9.44,1,1,4,"0","3",1485,"MATCH"
"246","f443d6ca",8.33,10,2,1,4,"0","3",1289,"MATCH"
"247","b005a881",4.44,7.22,4,5,4,"0","3",NA,"MATCH"
"248","67d8ff84",1.11,10,3,0,3.3333333333,"0","3",NA,"MATCH"
"249","2ce00fbc",6.666,7.22,2,1,3.3333333333,"0","3",2577,"MATCH"
"250","26046eb9",3.89,10,1.5,0.5,3.6666666667,"0","3",1189,"MATCH"
"251","7cb110e2",4.44,10,3,0,4.3333333333,"0","3",987,"MATCH"
"252","c45d62ce",3.88,7.77,3,0,1,"0","3",1500,"MATCH"
"253","eb246652",10,10,3,0,4,"0","3",2407,"MATCH"
"254","c147963e",5.56,10,1,2,3.6666666667,"0","3",649,"MATCH"
"255","741a7947",3.33,6.11,3,0,3.3333333333,"0","3",NA,"MATCH"
"256","f707e78d",6.67,2.22,3,0,3.6666666667,"0","3",NA,"MATCH"
"257","b1d25b94",5.56,9.44,5,0.5,3.6666666667,"0","3",1090,"MATCH"
"258","48cf1411",8.89,9.44,1,0,3.6666666667,"0","3",2089,"MATCH"
"259","233ce8f7",3.89,10,2,0,4,"0","3",2842,"MATCH"
"260","fa92e41c",3.89,8.89,3,0.5,3.3333333333,"0","3",1081,"MATCH"
"261","778c76ef",3.89,5,3,0,3.6666666667,"0","3",1397,"MATCH"
"262","eff72d9a",2.22,10,3,2.5,4.6666666667,"0","3",1281,"MATCH"
"263","ee9deba5",3.33,7.78,1,1.25,4,"0","3",1876,"MATCH"
"264","ca5397d7",7.78,10,1,2,5,"0","3",1552,"MATCH"
"265","693666a8",4.44,7.78,2,0,2.3333333333,"0","3",1044,"MATCH"
"266","c0524268",3.33,2.22,1,1,3.6666666667,"0","3",NA,"MATCH"
"267","c530ea24",3.89,10,1,0,3.3333333333,"0","3",NA,"MATCH"
"268","7218bc4d",7.22,9.44,3,0.25,3,"0","3",1417,"MATCH"
"269","5f1e472e",6.11,10,2,0,3.3333333333,"0","3",1212,"MATCH"
