"","Subject","Pre","Post","LeaYrs","DUH","AECI","LangLev","List","Trial","Time","Type"
"190","f38ed83e",9.4,10,6.5,0,3.6666666667,"B2+","1","2",NA,"MATCH"
"191","9c64d930",6.1,10,2,0,4.3333333333,"B2+","1","2",NA,"MATCH"
"192","eb02331f",10,10,6,0,5,"B2+","1","2",2131,"MATCH"
"193","10848d7c",9.4,10,5,1.5,4.6666666667,"B2+","1","2",777,"MATCH"
"194","cbd7a6c9",10,10,1,0.5,4.3333333333,"B2+","1","2",810,"MATCH"
"195","2b9cdd4b",10,10,5,0.75,5,"B2+","1","2",826,"MATCH"
"196","66ae62e9",3.3,10,6,0,3.6666666667,"B2+","1","2",2697,"MATCH"
"197","ad139538",10,10,22,0,4.3333333333,"B2+","1","2",NA,"MATCH"
"198","ced60332",9.4,10,2,1,4,"B2+","1","2",778,"MATCH"
"199","001b6dbd",10,10,3.5,0,4.3333333333,"B2+","1","2",1159,"MATCH"
"200","c6d0416f",10,10,5,1.5,5,"B2+","1","2",1194,"MATCH"
"201","7f602b96",5,10,1,1.75,4.3333333333,"A2","0","3",1180,"MATCH"
"202","4c0ed8e8",2.2,7.8,2.25,0.25,3.3333333333,"A2","0","3",1614,"MATCH"
"203","5f09194f",7.8,8.3,9,0,3.3333333333,"A2","0","3",NA,"MATCH"
"204","cf96590e",8.3,9.4,0.5,0.375,3.6666666667,"A2","0","3",1742,"MATCH"
"205","7e2ddfb9",2.2,10,0.75,0.75,3.6666666667,"A2","0","3",1654,"MATCH"
"206","c736e9f8",8.3,10,1.25,0,3.3333333333,"A2","0","3",547,"MATCH"
"207","ab130da0",6.7,10,5.5,0.75,3.6666666667,"A2","0","3",2240,"MATCH"
"208","42761fd6",8.3,9.4,1,0.35,3.5,"A2","0","3",1243,"MATCH"
"209","00b3eb76",3.3,9.4,4.2,0.25,4.1,"B1","0","3",NA,"MATCH"
"210","4eeee54c",7.8,9.4,5,0,3.3333333333,"B1","0","3",861,"MATCH"
"211","8fbb4282",5,9.4,3,0.375,4,"B1","0","3",NA,"MATCH"
"212","b5480d50",3.9,10,6,1,4,"B1","0","3",2033,"MATCH"
"213","eedbf0c3",10,10,1.5,0.375,5,"B1","0","3",538,"MATCH"
"214","66b7c5fa",10,10,2,3.25,4,"B1","0","3",NA,"MATCH"
"215","a29ce690",10,10,1,1.25,4.3333333333,"B1","0","3",1400,"MATCH"
"216","c42d2738",6.1,8.3,3,0,3,"B1","0","3",525,"MATCH"
"217","aa132e6a",10,10,6,1.5,3.3333333333,"B1","0","3",NA,"MATCH"
"218","2151232b",10,10,4.2,0.5,4,"B1","0","3",1438,"MATCH"
"219","685deea7",6.1,10,1.5,0.125,3.5,"B1","0","3",NA,"MATCH"
"220","c542a4f8",10,10,6,3,5,"B2+","0","3",NA,"MATCH"
"221","8508ee6c",5,10,5,0.75,3.6666666667,"B2+","0","3",2554,"MATCH"
"222","8f551579",10,10,3.08,0.125,4.3333333333,"B2+","0","3",NA,"MATCH"
"223","8a2c97d5",10,10,1,0.5,4.6666666667,"B2+","0","3",918,"MATCH"
"224","4d419e7a",6.7,8.9,9,0.25,5,"B2+","0","3",1038,"MATCH"
"225","9fd8805f",10,10,3.5,0.75,4.3333333333,"B2+","0","3",NA,"MATCH"
"226","0bd48e31",10,10,4.2,0,4.1,"B2+","0","3",848,"MATCH"
"227","ee4837b0",9.4,10,9,3.5,4.6666666667,"B2+","0","3",649,"MATCH"
"228","93b24402",9.4,9.4,7,0,4.6666666667,"B2+","0","3",NA,"MATCH"
"229","d3967b17",10,10,19,0.375,5,"B2+","0","3",1908,"MATCH"
"230","bfc95808",7.2,10,6,0.5,4.6666666667,"B2+","0","3",1193,"MATCH"
"231","c6385cb7",7.8,10,6,1,4.3333333333,"B2+","0","3",1079,"MATCH"
"232","5a6c7916",7.2,10,4.5,0,4,"B2+","0","3",1802,"MATCH"
"233","50bfaf0e",9.4,10,4,3,3.3333333333,"B2+","0","3",737,"MATCH"
"234","cc817718",7.2,10,3,0,3.3333333333,"B2+","0","3",NA,"MATCH"
"235","0aa00f25",10,10,3.5,0.75,4.3333333333,"B2+","0","3",821,"MATCH"
"236","868df361",9.4,9.4,6,3,5,"B2+","0","3",720,"MATCH"
"237","3f91cfa7",7.8,9.4,4.25,1,3.6666666667,"B2+","0","3",2423,"MATCH"
"238","546eb0e5",3.9,10,4,0.1,4,"B2+","0","3",NA,"MATCH"
"239","6bdf23ec",7.2,9.4,5,1,5,"B2+","0","3",925,"MATCH"
"240","8e1b5327",9.4,9.4,0,1,4.1,"B2+","0","3",554,"MATCH"
"241","c1b15df9",9.4,10,4,1,5,"B2+","0","3",951,"MATCH"
"242","1fc23b09",10,10,1,0.5,4.6666666667,"B2+","0","3",817,"MATCH"
"243","0888364f",8.9,10,4.2,0.75,5,"B2+","0","3",701,"MATCH"
"244","5d5a0842",8.8,10,3,0.5,4,"B2+","0","3",871,"MATCH"
"245","d7f4b666",8.3,10,3.5,0.625,4.6666666667,"B2+","0","3",NA,"MATCH"
"246","df99e021",6.7,9.4,6,0.375,3.6666666667,"B2+","0","3",1339,"MATCH"
"247","d9c7c5ff",2.8,10,4.2,0.125,4.3333333333,"B2+","0","3",1502,"MATCH"
"248","e034a323",8.3,10,1.5,0,3.6666666667,"A2","1","3",1337,"MATCH"
"249","13bc3a3e",5.6,9.4,1,0.5,3.3333333333,"A2","1","3",913,"MATCH"
"250","833efcf2",8.3,9.4,3,0.25,3.3333333333,"B1","1","3",2776,"MATCH"
"251","1ba8b63a",7.8,10,2,0.25,3,"A2","1","3",1975,"MATCH"
"252","5af29f72",8.9,10,1,0.75,4.3333333333,"A2","1","3",1451,"MATCH"
"253","f36e76f9",5.6,9.4,5,0.25,3.3333333333,"A2","1","3",1694,"MATCH"
"254","cfe9b984",6.7,10,1,0,3,"A2","1","3",NA,"MATCH"
"255","3b1c676f",5.6,8.3,2,2,4.3333333333,"A2","1","3",NA,"MATCH"
